year,naics_4,dherfindahl
2010,313210,0.004621983
2011,313210,-0.009973526
2012,313210,-0.006513715
2013,313210,-0.003771156
2014,313210,0.033297658
2015,313210,-0.00325504
2001,314110,0.035673648
2002,314110,0.090748668
2003,314110,0.075212657
2004,314110,0.02877146
2005,314110,0.002735436
2006,314110,0.020284534
2007,314110,-0.007185042
2008,314110,-0.014964998
2009,314110,0.001511335
2010,314110,-0.024431884
2011,314110,-0.010295033
2012,314110,0.025693238
2013,314110,0.029416144
2014,314110,-0.003936708
2015,314110,0.004529834
2001,315220,-0.002641469
2002,315220,-0.015344471
2003,315220,-0.007850111
2004,315220,0.001353264
2005,315220,-0.004744977
2006,315220,-0.002142727
2007,315220,0.012133867
2008,315220,0.024459302
2009,315220,-0.001485467
2010,315220,-0.001114994
2011,315220,0.011591733
2012,315220,0.018346727
2013,315220,0.006074667
2014,315220,0.042497814
2015,315220,-0.001602054
2001,315240,-0.030933738
2002,315240,0.028737456
2003,315240,0.030719995
2004,315240,-0.031303525
2005,315240,-0.045455307
2006,315240,-0.033587903
2007,315240,0.030430198
2008,315240,-0.008874208
2009,315240,0.004167646
2010,315240,-0.011772245
2011,315240,-0.033271939
2012,315240,-0.037729353
2013,315240,-0.006089211
2014,315240,-0.006990254
2015,315240,0.006362855
2001,315280,0.007085174
2002,315280,0.008590579
2003,315280,0.022627205
2004,315280,0.059114248
2005,315280,0.009771586
2006,315280,0.014499635
2007,315280,-0.037582695
2008,315280,-0.06055662
2009,315280,-0.016543984
2010,315280,-0.035540372
2011,315280,-0.006314248
2012,315280,-0.003397971
2013,315280,-0.004171789
2014,315280,0.005211741
2015,315280,0.022239
2001,315990,0.03270328
2002,315990,-0.055081367
2003,315990,0.003231525
2004,315990,0.022164106
2005,315990,0.034066081
2006,315990,-0.000736713
2007,315990,0.006929398
2008,315990,-0.08475697
2009,315990,0.014034748
2010,315990,0.004896879
2011,315990,-0.02687788
2012,315990,-0.021857977
2013,315990,-0.032883167
2014,315990,0.43160796
2015,315990,-0.44071066
2001,316210,-0.02050817
2002,316210,0.010822177
2003,316210,0.030631304
2004,316210,0.007163405
2005,316210,-0.025850117
2006,316210,-0.021419704
2007,316210,0.015783608
2008,316210,0.022334337
2009,316210,0.009909272
2010,316210,-0.02219981
2011,316210,0.026905239
2012,316210,0.007375419
2013,316210,0.018341422
2014,316210,0.007381201
2015,316210,-0.007222831
2001,321211,0
2002,321211,0
2003,321211,0
2004,321211,0
2005,321211,0
2006,321211,0
2007,321211,-1.19E-07
2008,321211,1.19E-07
2009,321211,0
2010,321211,0
2011,321211,-1.19E-07
2012,321211,1.19E-07
2013,321211,0
2014,321211,0
2015,321211,0
2001,321992,-0.007214516
2002,321992,0.023573712
2003,321992,0.036701605
2004,321992,0.068359226
2005,321992,0.016226113
2006,321992,0.008732379
2007,321992,-0.010783404
2008,321992,0.024922162
2009,321992,0.040363282
2010,321992,0.23449546
2011,321992,-0.12751019
2012,321992,0.049500227
2013,321992,0.031662047
2014,321992,0.002794445
2015,321992,0.11290634
2001,322121,0.043312818
2002,322121,0.081561819
2003,322121,-0.016633302
2004,322121,-0.026650101
2005,322121,0.051235825
2006,322121,-0.021562874
2007,322121,-0.030625969
2008,322121,-0.057574734
2009,322121,0.020478874
2010,322121,-0.003149778
2011,322121,0.16035883
