year,naics_4,dmarkup
2014,311942,0.005334497
2015,311942,-0.005396843
2001,313110,-0.042143345
2002,313110,0.010858655
2003,313110,0.006502628
2004,313110,-0.033133149
2005,313110,-0.039940178
2006,313110,0.025165498
2007,313110,-0.008848012
2008,313110,0.020169497
2009,313110,-0.022710204
2010,313110,0.057382286
2011,313110,-0.025418997
2012,313110,-0.030204415
2013,313110,0.024626851
2014,313110,0.013451099
2015,313110,0.013629436
2001,313210,0.006449461
2002,313210,0.032813072
2003,313210,0.081219673
2004,313210,0.058883071
2005,313210,0.003197432
2006,313210,-0.052893639
2007,313210,-0.046476007
2008,313210,-0.003042221
2009,313210,0.066180348
2010,313210,0.014306903
2011,313210,-0.008927345
2012,313210,0.022523761
2013,313210,-0.016989708
2014,313210,0.030916691
2015,313210,0.033641934
2001,314110,-0.015747905
2002,314110,0.028755546
2003,314110,-0.002545714
2004,314110,0.004820585
2005,314110,-0.017414927
2006,314110,0.035334945
2007,314110,0.012464046
2008,314110,-0.02638495
2009,314110,-0.002963543
2010,314110,0.043645263
2011,314110,-0.025180101
2012,314110,-0.000193834
2013,314110,0.00318253
2014,314110,0.008788109
2015,314110,0.054448605
2001,315220,0.005374074
2002,315220,0.028294206
2003,315220,-0.008970976
2004,315220,0.062641978
2005,315220,0.037883878
2006,315220,0.03330338
2007,315220,-0.001583219
2008,315220,0.031345963
2009,315220,0.014132142
2010,315220,0.060571432
2011,315220,-0.050302982
2012,315220,-0.008785248
2013,315220,0.042012453
2014,315220,-0.020936728
2015,315220,0.008086801
2001,315240,-0.016684413
2002,315240,0.048762798
2003,315240,0.015657425
2004,315240,-0.033172011
2005,315240,0.016257882
2006,315240,0.038349271
2007,315240,0.068266988
2008,315240,0.032041311
2009,315240,0.041786075
2010,315240,0.061966419
2011,315240,0.064838648
2012,315240,0.000338435
2013,315240,-0.012417674
2014,315240,-0.061308503
2015,315240,-0.037678361
2001,315280,-0.03471446
2002,315280,0.048606277
2003,315280,0.09536612
2004,315280,0.045783639
2005,315280,0.005226255
2006,315280,0.022255778
2007,315280,-0.011507988
2008,315280,0.021560192
2009,315280,-0.043892741
2010,315280,0.077033401
2011,315280,-0.066909909
2012,315280,-0.09454298
2013,315280,0.027361155
2014,315280,-0.047659874
2015,315280,-0.05359447
2001,315990,-0.018634915
2002,315990,-0.011105895
2003,315990,-0.00601387
2004,315990,-0.014140725
2005,315990,0.01371944
2006,315990,-0.002527237
2007,315990,0.048411489
2008,315990,-0.03847158
2009,315990,0.04661715
2010,315990,0.017223477
2011,315990,-0.066675663
2012,315990,-0.004140854
2013,315990,-0.045270681
2014,315990,0.075396895
2015,315990,0.04020381
2001,316210,0.006846428
2002,316210,0.029358149
2003,316210,0.033857346
2004,316210,0.028336406
2005,316210,-0.008798122
2006,316210,-0.001400352
2007,316210,0.035609484
2008,316210,-0.027525783
2009,316210,0.040249467
2010,316210,-0.009879112
2011,316210,-0.071213007
2012,316210,0.012761593
2013,316210,0.028508663
2014,316210,0.024161935
2015,316210,0.002554655
2001,321211,-0.009504139
2002,321211,0.053239405
2003,321211,-0.013121545
2004,321211,0.000468612
2005,321211,-0.003028691
2006,321211,0.006008744
2007,321211,0.004344046
2008,321211,-0.022350132
2009,321211,-0.002895415
2010,321211,0.002435207
2011,321211,0.037973523
2012,321211,0.016474307
2013,321211,0.014058888
2014,321211,0.017017126
2015,321211,0.014551699
2001,321992,0.013156891
2002,321992,-0.029118359
2003,321992,-0.021773756
2004,321992,0.050906539
2005,321992,0.014102221
2006,321992,0.004701495
2007,321992,-0.02495575
2008,321992,-0.011997044
2009,321992,-0.019553542
2010,321992,-0.01641494
2011,321992,0.037160695
2012,321992,-0.002577841
2013,321992,0.024571896
2014,321992,0.009994507
2015,321992,0.069048285
2001,322121,0.015622377
2002,322121,-0.066370964
2003,322121,-0.015821934
2004,322121,0.013188243
2005,322121,0.009202123
2006,322121,-0.005746961
2007,322121,-0.02998805
2008,322121,-0.036720276
2009,322121,0.023228168
2010,322121,0.006226659
2011,322121,0.088050842
2012,322121,-0.009579778
2013,322121,-0.021918774
2014,322121,0.010871291
2015,322121,-0.005575895
2001,322130,-0.033409595
2002,322130,-0.013422847
2003,322130,-0.026076317
2004,322130,0.005301118
2005,322130,-0.017645359
2006,322130,0.011695147
2007,322130,-0.001698852
2008,322130,-0.029775739
2009,322130,0.034754515
2010,322130,0.002256155
2011,322130,0.026997209
2012,322130,-0.012256861
2013,322130,0.00816083
2014,322130,0.030679941
2015,322130,-0.01019001
2001,322211,-0.021793008
2002,322211,-0.019844294
2003,322211,-0.023900628
2004,322211,-0.013935447
2005,322211,-0.01537776
2006,322211,0.043403387
2007,322211,0.034350157
2008,322211,-0.007340074
2009,322211,0.065240622
2010,322211,-0.017912269
2011,322211,-0.029143214
2012,322211,0.001117587
2013,322211,0.036512613
2014,322211,0.009959221
2015,322211,-0.00244844
2001,322212,-0.036834121
2002,322212,0.002888441
2003,322212,0.020323157
2004,322212,0.001703382
